QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Aaron Rodgers (7975752),Jay Ajayi (7975799),Latavius Murray (7975869),DeSean Jackson (7975972),Alshon Jeffery (7975976),Stefon Diggs (7975954),Delanie Walker (7976060),Larry Fitzgerald (7976006),Tennessee Titans (7976457)
Derek Carr (7975776),David Johnson (7975878),Jordan Howard (7975856),Marqise Lee (7975943),Dontrelle Inman (7975960),Jamison Crowder (7975980),Coby Fleener (7976051),Rishard Matthews (7975941),Green Bay Packers (7976459)
Andrew Luck (7975774),Jonathan Stewart (7975858),Mark Ingram (7975807),Tyrell Williams (7975966),Stefon Diggs (7975954),Pierre Garcon (7975974),Martellus Bennett (7976054),David Johnson (7975878),Los Angeles Rams (7976471)
Jameis Winston (7975740),Latavius Murray (7975869),Todd Gurley (7975889),Stefon Diggs (7975954),DeSean Jackson (7975972),Tyrell Williams (7975966),C.J. Fiedorowicz (7976119),Michael Crabtree (7975996),New England Patriots (7976455)
Andrew Luck (7975774),David Johnson (7975878),Ty Montgomery (7975838),Marqise Lee (7975943),Pierre Garcon (7975974),Dontrelle Inman (7975960),Jimmy Graham (7976101),Willie Snead (7975915),Atlanta Falcons (7976465)
Jameis Winston (7975740),Robert Kelley (7975853),Dion Lewis (7975818),Stefon Diggs (7975954),Alshon Jeffery (7975976),DeSean Jackson (7975972),Hunter Henry (7976080),David Johnson (7975878),New England Patriots (7976455)
Philip Rivers (7975759),Devonta Freeman (7975862),Latavius Murray (7975869),Stefon Diggs (7975954),Pierre Garcon (7975974),Kenny Britt (7976017),Antonio Gates (7976073),Tyler Eifert (7976117),New England Patriots (7976455)
Kirk Cousins (7975764),David Johnson (7975878),Thomas Rawls (7975879),Malcolm Mitchell (7975932),Marqise Lee (7975943),Dontrelle Inman (7975960),C.J. Fiedorowicz (7976119),Michael Crabtree (7975996),New England Patriots (7976455)
Derek Carr (7975776),Bilal Powell (7975815),Devonta Freeman (7975862),Stefon Diggs (7975954),Larry Fitzgerald (7976006),Pierre Garcon (7975974),Kyle Rudolph (7976070),Tyler Eifert (7976117),San Diego Chargers (7976462)
Jameis Winston (7975740),Dion Lewis (7975818),LeSean McCoy (7975797),Allen Robinson (7975945),DeSean Jackson (7975972),Stefon Diggs (7975954),Jimmy Graham (7976101),Tyrell Williams (7975966),New England Patriots (7976455)
Philip Rivers (7975759),David Johnson (7975878),Latavius Murray (7975869),Cameron Meredith (7975978),Davante Adams (7975951),Malcolm Mitchell (7975932),Kyle Rudolph (7976070),Jimmy Graham (7976101),Miami Dolphins (7976452)
Philip Rivers (7975759),David Johnson (7975878),Thomas Rawls (7975879),Allen Robinson (7975945),Rishard Matthews (7975941),Pierre Garcon (7975974),Martellus Bennett (7976054),Tyrell Williams (7975966),New England Patriots (7976455)
Jameis Winston (7975740),Bilal Powell (7975815),David Johnson (7975878),Jamison Crowder (7975980),Tyler Lockett (7976014),Davante Adams (7975951),Kyle Rudolph (7976070),Tyler Eifert (7976117),Atlanta Falcons (7976465)
Matt Ryan (7975769),Ty Montgomery (7975838),David Johnson (7975878),Jamison Crowder (7975980),Pierre Garcon (7975974),Rishard Matthews (7975941),Martellus Bennett (7976054),Jimmy Graham (7976101),Cincinnati Bengals (7976474)
Andrew Luck (7975774),Ty Montgomery (7975838),David Johnson (7975878),Davante Adams (7975951),Cameron Meredith (7975978),Tyler Lockett (7976014),Tyler Eifert (7976117),J.J. Nelson (7976011),Green Bay Packers (7976459)
Jameis Winston (7975740),Ty Montgomery (7975838),Bilal Powell (7975815),Kenny Britt (7976017),Larry Fitzgerald (7976006),Stefon Diggs (7975954),Jordan Reed (7976084),Tyler Eifert (7976117),Los Angeles Rams (7976471)
Philip Rivers (7975759),David Johnson (7975878),Devonta Freeman (7975862),Marqise Lee (7975943),Dontrelle Inman (7975960),Allen Robinson (7975945),Kyle Rudolph (7976070),C.J. Fiedorowicz (7976119),Miami Dolphins (7976452)
Kirk Cousins (7975764),Jay Ajayi (7975799),David Johnson (7975878),Adam Thielen (7975955),Cameron Meredith (7975978),Willie Snead (7975915),Martellus Bennett (7976054),Doug Martin (7975805),New England Patriots (7976455)
Cam Newton (7975772),David Johnson (7975878),Bilal Powell (7975815),Dontrelle Inman (7975960),DeSean Jackson (7975972),Marqise Lee (7975943),Hunter Henry (7976080),Willie Snead (7975915),Minnesota Vikings (7976460)
Andrew Luck (7975774),Carlos Hyde (7975886),David Johnson (7975878),Davante Adams (7975951),Malcolm Mitchell (7975932),Sammy Watkins (7975907),Charles Clay (7976039),Willie Snead (7975915),New England Patriots (7976455)
Matt Ryan (7975769),Frank Gore (7975865),Jonathan Stewart (7975858),Davante Adams (7975951),Willie Snead (7975915),Malcolm Mitchell (7975932),Martellus Bennett (7976054),David Johnson (7975878),Tennessee Titans (7976457)
Philip Rivers (7975759),Dion Lewis (7975818),David Johnson (7975878),Pierre Garcon (7975974),Tyrell Williams (7975966),A.J. Green (7976030),C.J. Fiedorowicz (7976119),Jeremy Hill (7975898),Atlanta Falcons (7976465)
Kirk Cousins (7975764),Latavius Murray (7975869),David Johnson (7975878),Sammy Watkins (7975907),Davante Adams (7975951),Malcolm Mitchell (7975932),Charles Clay (7976039),Willie Snead (7975915),Tennessee Titans (7976457)
Matt Ryan (7975769),Lamar Miller (7975893),Doug Martin (7975805),Larry Fitzgerald (7976006),DeSean Jackson (7975972),Stefon Diggs (7975954),Kyle Rudolph (7976070),Tyler Eifert (7976117),Los Angeles Rams (7976471)
Kirk Cousins (7975764),Doug Martin (7975805),Jay Ajayi (7975799),Davante Adams (7975951),Malcolm Mitchell (7975932),Jamison Crowder (7975980),Hunter Henry (7976080),David Johnson (7975878),Cincinnati Bengals (7976474)
Kirk Cousins (7975764),Frank Gore (7975865),David Johnson (7975878),Davante Adams (7975951),Malcolm Mitchell (7975932),Dontrelle Inman (7975960),Hunter Henry (7976080),Carlos Hyde (7975886),Miami Dolphins (7976452)
Andrew Luck (7975774),Devonta Freeman (7975862),Ty Montgomery (7975838),Larry Fitzgerald (7976006),Kenny Britt (7976017),Stefon Diggs (7975954),Martellus Bennett (7976054),C.J. Fiedorowicz (7976119),New England Patriots (7976455)
